account_id,customer_id,account_type,account_open_date,account_status
A00001,C0181,Savings,2025-05-05,Active
A00002,C0292,Current,2025-03-17,Active
A00003,C0282,Wallet,2024-09-17,Active
A00004,C0029,Savings,2024-12-15,Active
A00005,C0149,Current,2024-12-17,Dormant
A00006,C0267,Current,2025-06-03,Active
A00007,C0296,Current,2024-11-15,Active
A00008,C0011,Savings,2024-05-17,Closed
A00009,C0164,Current,2025-07-03,Active
A00010,C0113,Wallet,2025-09-14,Active
A00011,C0187,Savings,2025-01-02,Dormant
A00012,C0295,Savings,2024-08-07,Active
A00013,C0232,Wallet,2024-12-02,Active
A00014,C0227,Savings,2024-08-10,Closed
A00015,C0098,Wallet,2025-10-09,Dormant
A00016,C0055,Savings,2024-12-25,Active
A00017,C0111,Savings,2024-11-24,Active
A00018,C0152,Wallet,2025-04-07,Active
A00019,C0246,Savings,2025-07-14,Active
A00020,C0069,Savings,2025-01-16,Dormant
A00021,C0289,Savings,2025-08-12,Active
A00022,C0250,Current,2025-09-08,Active
A00023,C0036,Savings,2024-06-17,Active
A00024,C0239,Savings,2024-08-04,Active
A00025,C0148,Wallet,2025-01-12,Active
A00026,C0227,Savings,2024-04-28,Active
A00027,C0244,Current,2024-07-08,Dormant
A00028,C0201,Savings,2025-01-04,Active
A00029,C0154,Wallet,2024-05-28,Active
A00030,C0073,Savings,2025-11-06,Active
A00031,C0201,Wallet,2025-10-13,Active
A00032,C0296,Savings,2025-05-02,Active
A00033,C0017,Savings,2025-01-08,Active
A00034,C0129,Savings,2025-11-23,Active
A00035,C0217,Savings,2024-06-08,Dormant
A00036,C0061,Savings,2024-12-16,Active
A00037,C0104,Savings,2024-10-14,Active
A00038,C0042,Wallet,2024-10-14,Active
A00039,C0025,Savings,2024-08-13,Active
A00040,C0039,Savings,2025-06-06,Active
A00041,C0291,Current,2025-06-05,Active
A00042,C0131,Current,2024-09-29,Active
A00043,C0229,Savings,2025-02-05,Active
A00044,C0108,Savings,2024-07-01,Active
A00045,C0172,Savings,2025-10-26,Closed
A00046,C0102,Current,2025-05-02,Active
A00047,C0012,Current,2024-05-03,Active
A00048,C0275,Savings,2025-09-17,Active
A00049,C0101,Wallet,2025-02-17,Dormant
A00050,C0044,Wallet,2025-12-25,Active
A00051,C0017,Current,2024-06-20,Active
A00052,C0057,Wallet,2024-10-14,Active
A00053,C0012,Savings,2025-03-10,Active
A00054,C0080,Savings,2025-11-16,Active
A00055,C0216,Savings,2024-04-22,Active
A00056,C0264,Savings,2024-05-01,Dormant
A00057,C0149,Savings,2025-06-27,Active
A00058,C0081,Wallet,2024-08-09,Active
A00059,C0215,Savings,2025-09-22,Active
A00060,C0198,Savings,2024-02-08,Dormant
A00061,C0200,Savings,2025-05-11,Active
A00062,C0025,Wallet,2024-08-20,Dormant
A00063,C0089,Savings,2025-06-13,Active
A00064,C0268,Savings,2024-05-28,Active
A00065,C0143,Savings,2025-01-31,Active
A00066,C0059,Savings,2025-10-22,Active
A00067,C0026,Wallet,2025-09-29,Active
A00068,C0047,Wallet,2024-10-28,Active
A00069,C0288,Savings,2024-12-25,Active
A00070,C0266,Wallet,2024-08-25,Active
A00071,C0016,Current,2025-10-08,Active
A00072,C0199,Wallet,2025-10-24,Active
A00073,C0282,Savings,2024-08-23,Active
A00074,C0086,Savings,2024-07-21,Active
A00075,C0250,Savings,2024-09-12,Active
A00076,C0270,Current,2025-08-20,Closed
A00077,C0117,Savings,2025-10-23,Active
A00078,C0007,Savings,2024-08-22,Active
A00079,C0137,Savings,2024-12-10,Closed
A00080,C0176,Current,2025-06-17,Dormant
A00081,C0215,Savings,2025-04-10,Active
A00082,C0082,Current,2025-06-24,Dormant
A00083,C0223,Wallet,2024-07-31,Closed
A00084,C0103,Savings,2025-04-07,Active
A00085,C0273,Current,2025-03-11,Active
A00086,C0014,Savings,2024-10-09,Active
A00087,C0159,Wallet,2025-07-15,Active
A00088,C0152,Savings,2025-08-29,Active
A00089,C0108,Current,2025-04-07,Active
A00090,C0188,Wallet,2025-02-10,Active
A00091,C0098,Wallet,2024-03-28,Active
A00092,C0131,Current,2024-02-13,Active
A00093,C0293,Savings,2025-04-05,Active
A00094,C0171,Current,2024-10-04,Active
A00095,C0183,Wallet,2025-11-13,Active
A00096,C0039,Current,2025-02-24,Active
A00097,C0015,Savings,2025-12-01,Dormant
A00098,C0004,Wallet,2024-12-18,Active
A00099,C0210,Current,2025-11-26,Active
A00100,C0161,Current,2025-05-29,Active
A00101,C0016,Savings,2025-12-03,Active
A00102,C0108,Current,2025-09-21,Active
A00103,C0227,Savings,2024-01-19,Dormant
A00104,C0170,Current,2024-01-23,Dormant
A00105,C0034,Savings,2025-02-16,Active
A00106,C0251,Current,2024-01-30,Active
A00107,C0247,Wallet,2024-04-17,Closed
A00108,C0269,Savings,2025-01-01,Active
A00109,C0141,Wallet,2024-10-07,Active
A00110,C0274,Savings,2024-05-07,Dormant
A00111,C0096,Wallet,2024-08-16,Active
A00112,C0227,Wallet,2024-04-20,Active
A00113,C0039,Current,2024-05-15,Active
A00114,C0029,Current,2024-12-27,Active
A00115,C0245,Wallet,2024-07-04,Active
A00116,C0236,Savings,2025-10-17,Active
A00117,C0185,Savings,2025-08-06,Active
A00118,C0272,Current,2024-05-08,Active
A00119,C0236,Wallet,2024-09-17,Active
A00120,C0239,Wallet,2025-05-29,Active
A00121,C0266,Wallet,2025-03-24,Active
A00122,C0065,Savings,2024-04-13,Active
A00123,C0177,Wallet,2025-04-27,Dormant
A00124,C0003,Savings,2024-08-11,Active
A00125,C0142,Savings,2025-05-05,Closed
A00126,C0158,Savings,2025-04-17,Active
A00127,C0146,Savings,2024-01-10,Active
A00128,C0293,Savings,2025-02-08,Active
A00129,C0153,Savings,2024-10-28,Dormant
A00130,C0193,Current,2024-08-18,Active
A00131,C0073,Savings,2024-03-06,Active
A00132,C0140,Savings,2024-04-21,Active
A00133,C0187,Savings,2024-01-13,Active
A00134,C0293,Savings,2025-01-27,Active
A00135,C0061,Savings,2025-05-14,Closed
A00136,C0198,Savings,2025-08-20,Active
A00137,C0295,Current,2024-08-21,Active
A00138,C0011,Current,2025-08-24,Active
A00139,C0062,Current,2024-11-09,Active
A00140,C0226,Savings,2025-07-19,Active
A00141,C0153,Savings,2024-01-12,Active
A00142,C0199,Wallet,2024-07-27,Active
A00143,C0052,Savings,2024-01-14,Closed
A00144,C0260,Savings,2025-09-24,Active
A00145,C0059,Savings,2025-02-21,Active
A00146,C0072,Savings,2025-03-12,Active
A00147,C0148,Savings,2025-01-11,Closed
A00148,C0063,Savings,2024-01-20,Active
A00149,C0243,Current,2025-08-09,Active
A00150,C0107,Savings,2024-03-10,Dormant
A00151,C0226,Current,2024-07-29,Active
A00152,C0218,Wallet,2024-04-10,Active
A00153,C0241,Wallet,2025-11-28,Active
A00154,C0259,Current,2024-05-11,Dormant
A00155,C0262,Wallet,2025-09-14,Active
A00156,C0005,Savings,2025-01-15,Active
A00157,C0261,Savings,2024-05-11,Active
A00158,C0054,Savings,2024-01-20,Active
A00159,C0047,Current,2025-06-19,Active
A00160,C0215,Wallet,2024-08-14,Active
A00161,C0177,Savings,2024-06-02,Active
A00162,C0009,Wallet,2025-04-13,Active
A00163,C0099,Savings,2025-02-08,Active
A00164,C0020,Wallet,2024-07-20,Active
A00165,C0241,Savings,2024-02-07,Dormant
A00166,C0061,Savings,2024-07-06,Active
A00167,C0178,Savings,2024-02-26,Dormant
A00168,C0062,Savings,2024-01-20,Dormant
A00169,C0145,Savings,2024-09-29,Active
A00170,C0216,Savings,2024-04-28,Active
A00171,C0003,Wallet,2025-08-05,Active
A00172,C0160,Savings,2025-05-30,Active
A00173,C0227,Savings,2024-08-08,Active
A00174,C0269,Current,2025-06-09,Active
A00175,C0120,Current,2025-05-29,Active
A00176,C0089,Savings,2025-12-28,Active
A00177,C0068,Savings,2024-12-01,Active
A00178,C0098,Savings,2025-11-28,Active
A00179,C0267,Savings,2024-02-24,Active
A00180,C0105,Current,2025-05-14,Dormant
A00181,C0123,Savings,2025-06-19,Active
A00182,C0029,Savings,2024-06-10,Active
A00183,C0137,Current,2025-10-31,Active
A00184,C0195,Savings,2025-08-16,Active
A00185,C0226,Current,2024-06-07,Active
A00186,C0170,Savings,2024-07-06,Closed
A00187,C0009,Wallet,2024-02-29,Active
A00188,C0040,Savings,2024-11-14,Active
A00189,C0025,Wallet,2024-07-29,Active
A00190,C0261,Current,2025-02-09,Dormant
A00191,C0226,Savings,2025-10-25,Active
A00192,C0124,Current,2024-04-18,Active
A00193,C0038,Wallet,2024-03-16,Active
A00194,C0251,Current,2025-06-25,Active
A00195,C0176,Wallet,2024-11-09,Active
A00196,C0090,Wallet,2024-04-26,Closed
A00197,C0037,Savings,2025-12-04,Active
A00198,C0176,Savings,2024-01-19,Dormant
A00199,C0284,Current,2025-03-07,Active
A00200,C0081,Savings,2025-11-15,Active
A00201,C0114,Wallet,2024-12-15,Dormant
A00202,C0040,Wallet,2024-07-01,Active
A00203,C0224,Savings,2024-04-22,Dormant
A00204,C0115,Savings,2024-07-01,Active
A00205,C0186,Wallet,2025-04-25,Active
A00206,C0056,Savings,2024-05-25,Active
A00207,C0040,Wallet,2025-09-19,Active
A00208,C0040,Savings,2024-04-22,Active
A00209,C0237,Current,2025-04-20,Active
A00210,C0289,Savings,2024-10-29,Active
A00211,C0262,Current,2024-04-27,Dormant
A00212,C0216,Savings,2024-06-09,Active
A00213,C0147,Current,2025-02-04,Active
A00214,C0168,Savings,2024-07-16,Active
A00215,C0092,Current,2024-09-16,Active
A00216,C0059,Wallet,2025-10-21,Active
A00217,C0059,Savings,2024-02-16,Active
A00218,C0169,Savings,2025-02-02,Dormant
A00219,C0269,Savings,2025-12-10,Active
A00220,C0045,Current,2025-07-12,Active
A00221,C0181,Current,2024-03-18,Active
A00222,C0170,Savings,2024-05-03,Active
A00223,C0191,Savings,2024-03-15,Active
A00224,C0155,Savings,2024-05-16,Active
A00225,C0188,Current,2025-08-24,Active
A00226,C0007,Savings,2025-02-03,Active
A00227,C0133,Wallet,2025-05-19,Active
A00228,C0235,Savings,2025-05-14,Dormant
A00229,C0045,Current,2025-07-26,Closed
A00230,C0249,Savings,2024-05-17,Dormant
A00231,C0031,Savings,2024-02-19,Active
A00232,C0023,Current,2025-09-10,Active
A00233,C0160,Current,2025-09-16,Active
A00234,C0158,Wallet,2024-09-10,Active
A00235,C0039,Savings,2025-09-21,Active
A00236,C0082,Savings,2025-12-10,Dormant
A00237,C0258,Current,2025-07-16,Active
A00238,C0206,Current,2025-03-01,Active
A00239,C0077,Savings,2025-06-30,Active
A00240,C0012,Savings,2024-10-28,Active
A00241,C0295,Savings,2025-08-03,Active
A00242,C0224,Wallet,2024-12-14,Active
A00243,C0013,Savings,2024-02-18,Dormant
A00244,C0046,Savings,2024-03-14,Active
A00245,C0155,Savings,2025-12-04,Active
A00246,C0113,Savings,2024-09-17,Active
A00247,C0233,Savings,2024-12-21,Dormant
A00248,C0017,Savings,2025-08-04,Active
A00249,C0223,Savings,2025-08-24,Active
A00250,C0188,Wallet,2024-09-16,Active
A00251,C0163,Savings,2025-09-29,Active
A00252,C0074,Savings,2024-10-21,Active
A00253,C0233,Wallet,2025-10-02,Active
A00254,C0224,Current,2024-11-08,Active
A00255,C0060,Savings,2025-09-03,Dormant
A00256,C0222,Savings,2024-06-30,Active
A00257,C0037,Savings,2025-11-16,Active
A00258,C0278,Current,2024-12-29,Active
A00259,C0196,Wallet,2024-07-06,Active
A00260,C0242,Current,2025-07-22,Active
A00261,C0219,Current,2025-06-26,Active
A00262,C0192,Current,2025-08-18,Active
A00263,C0017,Savings,2025-10-25,Active
A00264,C0012,Savings,2025-07-01,Active
A00265,C0193,Current,2025-12-25,Active
A00266,C0022,Wallet,2025-02-11,Closed
A00267,C0120,Savings,2025-09-09,Active
A00268,C0210,Current,2025-02-17,Active
A00269,C0270,Savings,2024-12-07,Active
