customer_id,signup_date,city,customer_segment,kyc_status
C0001,2024-04-12,Mumbai,Premium,Verified
C0002,2025-03-11,Chennai,Mass,Verified
C0003,2024-09-27,Bengaluru,Student,Pending
C0004,2024-04-16,Ahmedabad,Student,Verified
C0005,2024-03-12,Hyderabad,Premium,Verified
C0006,2025-12-01,Pune,Student,Verified
C0007,2024-01-21,Delhi,Premium,Verified
C0008,2025-09-06,Pune,Mass,Pending
C0009,2024-05-01,Delhi,Mass,Verified
C0010,2025-04-11,Pune,Mass,Verified
C0011,2024-08-02,Chennai,Mass,Verified
C0012,2024-11-26,Hyderabad,Mass,Pending
C0013,2025-04-03,Ahmedabad,Premium,Verified
C0014,2024-03-28,Delhi,Mass,Verified
C0015,2025-01-07,Ahmedabad,Premium,Verified
C0016,2024-04-09,Ahmedabad,Mass,Rejected
C0017,2025-10-25,Ahmedabad,Premium,Pending
C0018,2024-05-10,Kolkata,Mass,Verified
C0019,2025-10-23,Bengaluru,Mass,Pending
C0020,2024-11-04,Pune,Premium,Verified
C0021,2024-12-09,Ahmedabad,Premium,Rejected
C0022,2025-05-06,Pune,Mass,Verified
C0023,2025-02-17,Ahmedabad,Business,Verified
C0024,2025-01-20,Delhi,Mass,Pending
C0025,2024-07-10,Bengaluru,Mass,Verified
C0026,2024-10-03,Bengaluru,Business,Verified
C0027,2024-06-09,Chennai,Premium,Verified
C0028,2025-04-04,Kolkata,Mass,Pending
C0029,2024-11-09,Chennai,Premium,Verified
C0030,2024-01-22,Chennai,Premium,Rejected
C0031,2024-09-09,Chennai,Student,Verified
C0032,2025-07-14,Chennai,Mass,Verified
C0033,2025-04-19,Chennai,Mass,Verified
C0034,2024-02-28,Hyderabad,Premium,Verified
C0035,2025-05-25,Bengaluru,Student,Verified
C0036,2025-11-12,Chennai,Premium,Verified
C0037,2025-04-20,Ahmedabad,Mass,Verified
C0038,2025-11-30,Bengaluru,Premium,Verified
C0039,2024-07-08,Bengaluru,Student,Pending
C0040,2025-11-17,Mumbai,Mass,Verified
C0041,2025-07-16,Hyderabad,Mass,Verified
C0042,2025-07-20,Chennai,Premium,Verified
C0043,2024-08-31,Pune,Premium,Verified
C0044,2025-05-19,Delhi,Mass,Verified
C0045,2024-05-10,Kolkata,Mass,Verified
C0046,2025-04-29,Ahmedabad,Mass,Verified
C0047,2025-10-08,Pune,Mass,Verified
C0048,2024-01-21,Hyderabad,Business,Verified
C0049,2024-06-15,Delhi,Student,Verified
C0050,2024-09-30,Hyderabad,Mass,Verified
C0051,2025-01-22,Ahmedabad,Business,Verified
C0052,2025-08-23,Bengaluru,Premium,Verified
C0053,2024-11-11,Delhi,Premium,Verified
C0054,2024-01-14,Bengaluru,Premium,Verified
C0055,2024-08-29,Ahmedabad,Mass,Verified
C0056,2024-12-11,Pune,Mass,Pending
C0057,2025-07-18,Ahmedabad,Premium,Verified
C0058,2024-12-05,Pune,Premium,Verified
C0059,2024-04-01,Delhi,Mass,Pending
C0060,2025-01-01,Delhi,Business,Rejected
C0061,2025-03-30,Chennai,Student,Verified
C0062,2025-03-03,Hyderabad,Mass,Verified
C0063,2025-05-23,Chennai,Business,Pending
C0064,2024-02-04,Hyderabad,Business,Verified
C0065,2024-07-24,Chennai,Business,Verified
C0066,2024-03-21,Bengaluru,Mass,Verified
C0067,2025-07-15,Delhi,Student,Pending
C0068,2025-01-22,Pune,Premium,Verified
