dispute_id,transaction_id,dispute_date,dispute_reason,dispute_amount,resolution
D00001,T002879,2025-07-22,Unauthorized,1039.06,Won
D00002,T004973,2024-11-09,Service_Not_Received,406.7,Won
D00003,T004332,2025-10-05,Fraud,466.35,Won
D00004,T004223,2024-10-19,Unauthorized,2662.67,Lost
D00005,T000384,2024-06-06,Unauthorized,2175.38,Lost
D00006,T001387,2024-08-05,Duplicate,4576.69,Won
D00007,T000335,2024-08-30,Fraud,2296.21,Won
D00008,T001099,2024-10-05,Wrong_Amount,978.88,Won
D00009,T001190,2025-04-24,Fraud,487.2,Lost
D00010,T003512,2024-05-30,Fraud,3353.62,Lost
D00011,T000480,2024-09-10,Duplicate,1809.32,Won
D00012,T000463,2025-12-12,Wrong_Amount,2079.41,Lost
D00013,T001747,2025-04-07,Duplicate,1734.76,Won
D00014,T003922,2024-11-24,Duplicate,2832.88,Lost
D00015,T004278,2024-06-13,Duplicate,324.08,Won
D00016,T000347,2024-12-04,Fraud,415.25,Pending
D00017,T003106,2025-02-20,Duplicate,545.97,Won
D00018,T004243,2025-01-01,Service_Not_Received,1467.45,Lost
D00019,T002276,2024-05-03,Wrong_Amount,760.65,Won
D00020,T003193,2025-04-24,Wrong_Amount,2704.27,Won
D00021,T002042,2024-02-23,Duplicate,1082.12,Won
D00022,T002591,2025-10-29,Fraud,7009.21,Won
D00023,T000794,2024-12-19,Unauthorized,4319.75,Pending
D00024,T000481,2025-01-20,Unauthorized,1225.77,Won
D00025,T001473,2025-06-22,Fraud,369.97,Lost
D00026,T004219,2025-06-04,Duplicate,1903.07,Lost
D00027,T004843,2024-03-07,Duplicate,450.05,Won
D00028,T002248,2024-04-03,Service_Not_Received,502.9,Won
D00029,T003159,2024-12-30,Unauthorized,800.15,Pending
D00030,T000044,2025-07-18,Unauthorized,788.11,Won
D00031,T003856,2024-12-19,Wrong_Amount,1706.34,Won
D00032,T000093,2024-05-14,Duplicate,1424.97,Lost
D00033,T004968,2024-03-19,Fraud,489.13,Won
D00034,T004872,2025-03-29,Duplicate,865.61,Won
D00035,T003419,2024-11-05,Duplicate,369.5,Won
D00036,T001194,2024-08-06,Service_Not_Received,1512.45,Pending
