merchant_id,merchant_name,category,city,risk_level
M0001,Merchant_001,Entertainment,Bengaluru,Low
M0002,Merchant_002,Grocery,Pune,Medium
M0003,Merchant_003,Entertainment,Delhi,Low
M0004,Merchant_004,Entertainment,Kolkata,High
M0005,Merchant_005,Shopping,Pune,Low
M0006,Merchant_006,Travel,Chennai,Medium
M0007,Merchant_007,Travel,Pune,Medium
M0008,Merchant_008,Electronics,Hyderabad,Low
M0009,Merchant_009,Shopping,Delhi,Low
M0010,Merchant_010,Electronics,Bengaluru,Medium
M0011,Merchant_011,Electronics,Bengaluru,Low
M0012,Merchant_012,Travel,Delhi,Low
M0013,Merchant_013,Shopping,Hyderabad,Low
M0014,Merchant_014,Travel,Mumbai,Low
M0015,Merchant_015,Electronics,Pune,Medium
M0016,Merchant_016,Shopping,Hyderabad,Low
M0017,Merchant_017,Electronics,Chennai,Low
M0018,Merchant_018,Utilities,Ahmedabad,Low
M0019,Merchant_019,Entertainment,Kolkata,Low
M0020,Merchant_020,Shopping,Delhi,Low
M0021,Merchant_021,Shopping,Ahmedabad,Low
M0022,Merchant_022,Entertainment,Pune,Low
M0023,Merchant_023,Electronics,Bengaluru,Low
M0024,Merchant_024,Utilities,Kolkata,Medium
M0025,Merchant_025,Food,Ahmedabad,Low
M0026,Merchant_026,Entertainment,Mumbai,Medium
M0027,Merchant_027,Travel,Ahmedabad,Low
M0028,Merchant_028,Electronics,Chennai,Low
M0029,Merchant_029,Entertainment,Bengaluru,Medium
M0030,Merchant_030,Entertainment,Delhi,Low
M0031,Merchant_031,Shopping,Pune,Medium
M0032,Merchant_032,Travel,Delhi,Medium
M0033,Merchant_033,Travel,Kolkata,Low
M0034,Merchant_034,Travel,Pune,Medium
M0035,Merchant_035,Entertainment,Hyderabad,Medium
M0036,Merchant_036,Food,Mumbai,Low
M0037,Merchant_037,Grocery,Hyderabad,Low
M0038,Merchant_038,Electronics,Hyderabad,Low
M0039,Merchant_039,Grocery,Delhi,Medium
M0040,Merchant_040,Entertainment,Kolkata,Medium
M0041,Merchant_041,Grocery,Mumbai,High
M0042,Merchant_042,Entertainment,Ahmedabad,Medium
M0043,Merchant_043,Grocery,Pune,Low
M0044,Merchant_044,Travel,Pune,Low
M0045,Merchant_045,Utilities,Chennai,Medium
M0046,Merchant_046,Travel,Bengaluru,Low
M0047,Merchant_047,Travel,Chennai,High
M0048,Merchant_048,Shopping,Ahmedabad,Low
M0049,Merchant_049,Shopping,Chennai,Low
M0050,Merchant_050,Grocery,Pune,Medium
M0051,Merchant_051,Entertainment,Delhi,Medium
M0052,Merchant_052,Travel,Hyderabad,Low
M0053,Merchant_053,Grocery,Kolkata,Medium
M0054,Merchant_054,Shopping,Hyderabad,Low
M0055,Merchant_055,Utilities,Hyderabad,Medium
M0056,Merchant_056,Electronics,Mumbai,Medium
M0057,Merchant_057,Grocery,Pune,Medium
M0058,Merchant_058,Utilities,Ahmedabad,Medium
M0059,Merchant_059,Electronics,Ahmedabad,Low
M0060,Merchant_060,Food,Kolkata,Low
M0061,Merchant_061,Grocery,Delhi,High
M0062,Merchant_062,Grocery,Mumbai,Low
M0063,Merchant_063,Food,Bengaluru,High
M0064,Merchant_064,Food,Delhi,Low
M0065,Merchant_065,Grocery,Chennai,Medium
M0066,Merchant_066,Food,Delhi,Medium
M0067,Merchant_067,Travel,Delhi,High
M0068,Merchant_068,Electronics,Hyderabad,Low
M0069,Merchant_069,Electronics,Delhi,Medium
M0070,Merchant_070,Electronics,Ahmedabad,Low
M0071,Merchant_071,Travel,Chennai,Low
M0072,Merchant_072,Entertainment,Chennai,Medium
M0073,Merchant_073,Food,Pune,Medium
M0074,Merchant_074,Utilities,Delhi,High
M0075,Merchant_075,Food,Hyderabad,Low
M0076,Merchant_076,Grocery,Delhi,Low
M0077,Merchant_077,Shopping,Bengaluru,Low
M0078,Merchant_078,Electronics,Bengaluru,Low
M0079,Merchant_079,Food,Hyderabad,Low
M0080,Merchant_080,Utilities,Pune,Medium
M0081,Merchant_081,Grocery,Pune,Low
M0082,Merchant_082,Travel,Chennai,High
M0083,Merchant_083,Entertainment,Chennai,High
M0084,Merchant_084,Travel,Mumbai,Medium
M0085,Merchant_085,Utilities,Hyderabad,High
M0086,Merchant_086,Grocery,Delhi,Medium
M0087,Merchant_087,Electronics,Kolkata,Low
M0088,Merchant_088,Food,Hyderabad,Low
M0089,Merchant_089,Grocery,Mumbai,Low
M0090,Merchant_090,Entertainment,Chennai,Low
M0091,Merchant_091,Travel,Hyderabad,Medium
M0092,Merchant_092,Entertainment,Hyderabad,Low
M0093,Merchant_093,Entertainment,Chennai,Medium
M0094,Merchant_094,Utilities,Ahmedabad,Medium
M0095,Merchant_095,Utilities,Mumbai,Low
M0096,Merchant_096,Food,Chennai,High
M0097,Merchant_097,Utilities,Pune,Low
M0098,Merchant_098,Utilities,Delhi,Low
M0099,Merchant_099,Grocery,Chennai,Medium
M0100,Merchant_100,Electronics,Mumbai,Low
