transaction_id,account_id,merchant_id,transaction_timestamp,transaction_type,amount,payment_channel,status,currency
T000001,A00439,M0010,2025-08-02 19:50:28,Withdrawal,25000.0,Card,Failed,INR
T000002,A00430,M0059,2024-09-08 00:57:29,Withdrawal,26000.0,Wallet,Failed,INR
T000003,A00152,M0090,2025-07-13 11:24:55,Withdrawal,27000.0,Card,Failed,INR
T000004,A00302,M0055,2025-11-26 21:38:49,Transfer,28000.0,Card,Failed,INR
T000005,A00278,M0020,2025-11-29 08:06:30,Purchase,29000.0,Wallet,Failed,INR
T000006,A00139,M0081,2024-03-30 07:15:41,Transfer,30000.0,NetBanking,Failed,INR
T000007,A00176,M0017,2025-03-21 06:38:28,Purchase,31000.0,Wallet,Failed,INR
T000008,A00008,M0068,2024-11-27 08:58:42,Purchase,32000.0,UPI,Failed,INR
T000009,A00295,M0005,2024-05-18 14:05:10,Purchase,33000.0,Wallet,Failed,INR
T000010,A00235,M0060,2024-12-22 03:53:32,Bill_Payment,34000.0,Card,Failed,INR
T000011,A00163,M0023,2025-08-23 09:41:29,Purchase,35000.0,UPI,Failed,INR
T000012,A00049,M0046,2024-09-30 04:50:12,Purchase,36000.0,UPI,Failed,INR
T000013,A00302,M0052,2024-01-19 06:50:57,Refund,37000.0,UPI,Failed,INR
T000014,A00038,M0010,2024-11-06 01:34:16,Bill_Payment,38000.0,UPI,Failed,INR
T000015,A00136,M0046,2024-06-02 02:29:27,Purchase,39000.0,NetBanking,Failed,INR
T000016,A00310,M0028,2025-01-24 23:35:58,Bill_Payment,40000.0,NetBanking,Failed,INR
T000017,A00421,M0097,2024-09-16 04:22:44,Purchase,41000.0,ATM,Failed,INR
T000018,A00219,M0043,2025-09-11 04:24:33,Withdrawal,42000.0,Card,Failed,INR
T000019,A00348,M0026,2025-07-24 14:10:30,Transfer,43000.0,NetBanking,Failed,INR
T000020,A00296,M0055,2024-05-04 18:50:07,Transfer,44000.0,UPI,Failed,INR
T000021,A00034,M0048,2024-12-19 00:26:47,Withdrawal,100000.0,Card,Failed,INR
T000022,A00352,M0029,2024-09-29 05:25:23,Purchase,101000.0,NetBanking,Success,INR
